	151_Le	173_Le	279_Le	294_Ob	295_Ob	75_Ob	138_Ob	65_Ob	283_Ob	96_IR	132_IR	95_IR	126_IR
CLEC11A|NM_002975	5.594398635	1.476476751	8.773727366	3.323498417	1.603060594	1.310435968	1.116744574	2.795540171	2.56564345	1.705399307	2.469796938	9.432880393	3.637882082
C1QTNF9B-AS1|NM_001014442+NM_001135816	0	0	0	0	2.168756231	8.86434419	7.554133525	6.489276905	2.892516583	0	0	5.488860232	9.333848742
LUZP2|NM_001252010+NM_001252008+NM_001009909	0.928747272	1.568739127	0.896344404	3.043034416	0.851616483	1.566363098	0.88989595	1.485114223	3.691412147	0.754986101	0.262413011	0.578211007	1.242387896
ANP32AP1|NR_003144	2.666435935	3.518636161	1.286703607	1.408058498	1.222496615	1.24917575	2.129078071	1.06594174	1.630469889	3.251350712	2.825206741	1.38337114	1.981610565
MIR616|NR_030346	20.71399912	0	0	10.93839238	4.748434696	9.704124165	0	8.280685083	22.16581129	16.8385759	7.31579924	0	23.09098016
POLR3A|NM_007055	2.669249055	2.817878689	1.144943194	2.114316024	1.699703282	2.084156074	3.315393312	3.556887736	2.493623693	3.73697069	1.571215203	1.384830612	3.195963023
EDC4|NM_014329	4.499298881	5.181632399	1.184270125	4.103886149	3.656817458	2.87432458	3.429271663	2.289193527	3.313978344	4.322519051	2.166911843	2.758691065	3.495724146
WDR45|NM_007075+NM_001029896	64.18152317	70.95129526	67.20156007	70.66200768	51.6337432	65.80888468	79.77164205	82.29726198	55.53631284	77.27610289	72.7077821	86.70033867	58.94712191
PHLDA3|NR_073080+NM_012396	54.66155459	66.11786582	103.4319664	69.38305732	71.71200627	48.1672854	78.25204553	59.15554781	49.61243947	50.64900951	63.26524964	66.1762064	63.35211875
MAGOH2P|NR_049723	0	1.622971091	1.483730245	0	3.524228876	1.440455931	1.227546698	0	0.470033945	3.749214165	2.171877899	0	0
EXOC2|NR_073064+NM_018303	6.157714814	6.26842594	2.971440097	5.603684059	6.049636804	5.975605588	7.550755866	8.791517704	7.328914775	9.653764608	6.369028876	7.073930472	4.412781864
LINC00957|NR_072982+NR_072981+NR_015401	0	2.342568325	0	0.679181226	0.589674838	0	1.026967069	0	0.196615487	1.568298579	0	0	1.513901239
PIN4P1|NR_003571	2.097005243	2.656525306	2.428611923	1.993249051	3.461135265	3.143705724	2.344163963	2.011930957	1.538730049	2.045606842	2.369994402	5.657315735	2.805169943
UNG|NM_080911+NM_003362	49.01251862	40.13604085	29.17726224	29.26834446	31.50148401	26.60953707	32.18595117	46.14515388	22.96776439	23.08640645	39.79753518	26.61636986	33.70121767
SMEK1|NM_001284281+NM_001284280	2.15110376	4.309913119	5.177220602	6.870977955	4.339408624	4.434109637	4.480709297	1.835432741	4.340671587	2.448109281	2.16208479	2.911346471	3.412112289
ANKRD35|NM_001280799+NM_144698	16.54173059	18.47028021	16.57863309	12.93474495	9.771672751	16.39315994	18.03417923	17.54926779	16.53400843	30.51413142	25.84063974	25.41592253	14.89379269
NIPA2|NM_001184889+NM_001184888+NM_030922+NM_001008894+NM_001008892+NM_001008860	15.0753048	12.55495512	15.51930307	12.73724955	18.9013642	18.16687239	15.24715817	19.60379437	20.79674107	14.73006923	11.99043134	16.36758322	15.14204711
NAPG|NM_003826	15.6261041	12.44204901	11.5024029	12.58724703	11.53556362	6.700155046	13.7458782	14.39925176	16.27595171	12.70258526	12.5343358	8.793995379	7.676273927
PSMB9|NM_002800	1.877700114	2.973381855	1.812189431	3.470434257	9.469682751	7.037341248	5.997174107	6.005076368	1.148174407	5.342391151	2.652675032	3.896671378	2.093170702
PLAU|NM_002658+NM_001145031	2.049822731	0	0.494576724	1.62366754	3.994125867	0.480151954	1.227546639	0	0.626711896	0	0.723959265	0	1.523363201
NPR2|NM_003995	3.555248268	4.37874766	5.146814942	7.509646076	3.531657242	5.829486834	4.021592313	4.026891421	5.434900174	3.612612264	3.557668104	3.996405514	2.42196871
HEIH|NR_045680	36.04860838	37.30968026	21.82959441	19.03610311	15.55521711	20.53063626	19.18923574	18.08425478	19.44968047	20.11072732	21.96842013	18.33563224	25.21428868
CLIP3|NM_001199570+NM_015526	3.638514484	3.040882661	6.437880385	8.435642451	5.712677845	5.088970379	7.14294127	10.47308871	8.621393032	6.233202867	14.13561209	5.006802186	4.281378447
HOXB7|NM_004502	36.01445314	33.83763694	39.62406583	41.07902436	43.59104329	43.19258347	35.0830295	32.8256993	32.15224554	31.03302385	44.77311532	37.36924967	34.25894224
BOP1|NM_015201	3.648633597	3.423820007	7.825193752	5.780175863	6.505375099	4.178330754	4.855561236	5.18608985	11.03136828	5.602451041	9.736311983	8.41308614	8.134646089
HNRNPC|NM_004500+NM_031314+NM_001077442+NM_001077443	34.91014442	40.08794612	32.17929849	39.61890222	40.36607136	40.86501086	40.92079108	46.33179186	41.77561271	39.40184452	27.04114059	31.96333478	32.18612506
GPS2|NM_004489	63.78013353	79.90010728	42.67807918	65.11509936	54.19453232	63.74359229	65.18622435	73.43113263	62.92035443	59.45166436	87.10036686	89.12162317	61.30318665
SUMO1|NM_003352+NM_001005782+NM_001005781	46.75628466	55.44032926	69.97647178	72.9979432	81.39705769	69.84028057	45.44965832	56.88693212	73.54800503	47.92383467	51.21562799	49.21828724	45.32320032
UBE2I|NM_194261+NM_194260+NM_003345+NM_194259	41.28314135	37.90120233	28.88604644	32.88210516	38.17010603	34.16801419	32.41409758	31.63163508	27.13706265	27.96616377	34.50703562	30.69923059	28.12362743
LOX|NM_002317+NM_001178102	10.2629713	13.74368274	23.84515048	16.96116207	42.7836033	30.09459106	25.79815866	31.91030537	71.87877847	39.55129659	19.86867434	31.74993086	40.81918722
GTF2A2|NM_004492	53.4871542	54.16742418	44.41811465	54.84752772	66.4390591	54.77738314	55.61980942	44.75338203	57.04583335	47.52480017	46.56769342	43.23778089	54.07842789
LOC644936|NR_004845	32.01458329	32.29512651	3.433070361	3.7568589	4.566462411	44.6614202	44.3088395	46.6424659	2.392652668	49.15816586	63.31895022	33.21891218	44.41214828
SCUBE2|NM_001170690+NM_020974	1.267905816	1.717429555	11.80343766	5.251735071	4.427690745	7.655104798	3.117578603	17.7132179	14.52379874	6.8768648	10.11244635	5.626807215	6.423268359
